return_id,sale_item_id,processed_by_employee_id,return_time,quantity_returned,refund_amount,return_reason
1,32450,33,2026-05-22 08:00:00,1,9.79,Product not needed
2,100161,2,2025-11-27 10:50:00,3,13.03,Incorrect item
3,71230,66,2026-04-10 08:00:00,1,6.25,Damaged packaging
4,17236,7,2025-12-08 19:45:00,3,13.03,Changed mind
5,110500,53,2026-06-15 09:00:00,1,4.89,Incorrect item
6,27224,49,2026-05-25 12:45:00,2,11.95,Product not needed
7,41574,3,2025-12-04 10:00:00,3,2.58,Changed mind
8,52661,1,2025-11-26 16:45:00,3,14.67,Damaged packaging
9,68424,52,2026-03-30 13:05:00,1,4.67,Product not needed
10,52436,13,2025-12-25 08:00:00,1,5.43,Product not needed
11,39116,44,2026-05-07 13:45:00,2,17.94,Damaged packaging
12,68680,51,2026-05-08 08:00:00,2,9.78,Damaged packaging
13,29501,30,2026-02-17 08:00:00,1,5.43,Product not needed
14,69199,50,2026-03-13 20:40:00,3,15.32,Incorrect item
15,118,71,2025-11-26 15:35:00,1,7.07,Changed mind
16,114904,14,2025-12-17 17:40:00,1,4.67,Incorrect item
17,42460,20,2026-02-13 13:10:00,1,5.43,Changed mind
18,90731,75,2026-02-23 13:30:00,4,22.28,Product not needed
19,48035,6,2025-12-02 15:25:00,1,10.33,Incorrect item
20,76352,67,2026-04-21 17:40:00,2,10.21,Damaged packaging
21,104384,31,2026-04-06 11:40:00,1,12.51,Incorrect item
22,8479,48,2026-05-29 09:00:00,1,6.52,Incorrect item
23,36519,49,2026-06-13 15:45:00,2,14.13,Damaged packaging
24,77225,39,2026-07-29 20:25:00,3,14.12,Quality issue
25,22281,1,2025-11-20 16:45:00,2,17.40,Damaged packaging
26,79270,43,2026-05-06 15:55:00,2,10.87,Changed mind
27,123488,36,2026-04-30 10:55:00,2,15.22,Product not needed
28,119670,26,2026-03-14 15:10:00,1,6.52,Product not needed
29,27673,45,2026-07-31 11:40:00,2,8.61,Quality issue
30,98607,15,2026-01-26 18:45:00,1,7.07,Incorrect item
