delivery_id,purchase_order_id,delivery_date,delivery_status,notes
1,1,2025-11-07,received,Demand-driven synthetic replenishment delivery
2,2,2025-11-06,received,Demand-driven synthetic replenishment delivery
3,3,2025-11-07,received,Demand-driven synthetic replenishment delivery
4,4,2025-11-07,received,Demand-driven synthetic replenishment delivery
5,5,2025-11-07,received,Demand-driven synthetic replenishment delivery
6,6,2025-11-09,received,Demand-driven synthetic replenishment delivery
7,7,2025-11-06,received,Demand-driven synthetic replenishment delivery
8,8,2025-11-04,received,Demand-driven synthetic replenishment delivery
9,9,2025-11-08,received,Demand-driven synthetic replenishment delivery
10,10,2025-11-08,received,Demand-driven synthetic replenishment delivery
11,11,2025-11-09,received,Demand-driven synthetic replenishment delivery
12,12,2025-11-10,received,Demand-driven synthetic replenishment delivery
13,13,2025-11-07,received,Demand-driven synthetic replenishment delivery
14,14,2025-11-08,received,Demand-driven synthetic replenishment delivery
15,15,2025-11-08,received,Demand-driven synthetic replenishment delivery
16,16,2025-11-08,received,Demand-driven synthetic replenishment delivery
17,17,2025-11-09,partial,Demand-driven synthetic replenishment delivery
18,18,2025-11-10,received,Demand-driven synthetic replenishment delivery
19,19,2025-11-14,received,Demand-driven synthetic replenishment delivery
20,20,2025-11-15,received,Demand-driven synthetic replenishment delivery
21,21,2025-11-15,received,Demand-driven synthetic replenishment delivery
22,22,2025-11-15,received,Demand-driven synthetic replenishment delivery
23,23,2025-11-16,received,Demand-driven synthetic replenishment delivery
24,24,2025-11-17,received,Demand-driven synthetic replenishment delivery
25,25,2025-11-14,received,Demand-driven synthetic replenishment delivery
26,26,2025-11-15,received,Demand-driven synthetic replenishment delivery
27,27,2025-11-15,received,Demand-driven synthetic replenishment delivery
28,28,2025-11-15,received,Demand-driven synthetic replenishment delivery
29,29,2025-11-16,received,Demand-driven synthetic replenishment delivery
30,30,2025-11-24,received,Demand-driven synthetic replenishment delivery
31,31,2025-11-21,received,Demand-driven synthetic replenishment delivery
32,32,2025-11-22,received,Demand-driven synthetic replenishment delivery
33,33,2025-11-22,received,Demand-driven synthetic replenishment delivery
34,34,2025-11-22,partial,Demand-driven synthetic replenishment delivery
35,35,2025-11-23,received,Demand-driven synthetic replenishment delivery
36,36,2025-11-24,received,Demand-driven synthetic replenishment delivery
37,37,2025-11-21,received,Demand-driven synthetic replenishment delivery
38,38,2025-11-22,received,Demand-driven synthetic replenishment delivery
39,39,2025-11-22,received,Demand-driven synthetic replenishment delivery
40,40,2025-11-29,received,Demand-driven synthetic replenishment delivery
41,41,2025-11-30,received,Demand-driven synthetic replenishment delivery
42,42,2025-12-01,received,Demand-driven synthetic replenishment delivery
43,43,2025-11-28,received,Demand-driven synthetic replenishment delivery
44,44,2025-11-29,received,Demand-driven synthetic replenishment delivery
45,45,2025-11-29,received,Demand-driven synthetic replenishment delivery
46,46,2025-11-29,received,Demand-driven synthetic replenishment delivery
47,47,2025-11-30,received,Demand-driven synthetic replenishment delivery
48,48,2025-12-01,received,Demand-driven synthetic replenishment delivery
49,49,2025-11-28,received,Demand-driven synthetic replenishment delivery
50,50,2025-12-06,received,Demand-driven synthetic replenishment delivery
51,51,2025-12-06,partial,Demand-driven synthetic replenishment delivery
52,52,2025-12-06,received,Demand-driven synthetic replenishment delivery
53,53,2025-12-07,received,Demand-driven synthetic replenishment delivery
54,54,2025-12-08,received,Demand-driven synthetic replenishment delivery
55,55,2025-12-05,received,Demand-driven synthetic replenishment delivery
56,56,2025-12-06,received,Demand-driven synthetic replenishment delivery
57,57,2025-12-06,received,Demand-driven synthetic replenishment delivery
58,58,2025-12-06,received,Demand-driven synthetic replenishment delivery
59,59,2025-12-07,received,Demand-driven synthetic replenishment delivery
60,60,2025-12-15,received,Demand-driven synthetic replenishment delivery
61,61,2025-12-12,received,Demand-driven synthetic replenishment delivery
62,62,2025-12-13,received,Demand-driven synthetic replenishment delivery
63,63,2025-12-13,received,Demand-driven synthetic replenishment delivery
64,64,2025-12-13,received,Demand-driven synthetic replenishment delivery
65,65,2025-12-14,received,Demand-driven synthetic replenishment delivery
66,66,2025-12-15,received,Demand-driven synthetic replenishment delivery
67,67,2025-12-12,received,Demand-driven synthetic replenishment delivery
68,68,2025-12-13,partial,Demand-driven synthetic replenishment delivery
69,69,2025-12-13,received,Demand-driven synthetic replenishment delivery
70,70,2025-12-20,received,Demand-driven synthetic replenishment delivery
71,71,2025-12-21,received,Demand-driven synthetic replenishment delivery
72,72,2025-12-22,received,Demand-driven synthetic replenishment delivery
73,73,2025-12-19,received,Demand-driven synthetic replenishment delivery
74,74,2025-12-20,received,Demand-driven synthetic replenishment delivery
75,75,2025-12-20,received,Demand-driven synthetic replenishment delivery
76,76,2025-12-20,received,Demand-driven synthetic replenishment delivery
77,77,2025-12-21,received,Demand-driven synthetic replenishment delivery
78,78,2025-12-22,received,Demand-driven synthetic replenishment delivery
79,79,2025-12-19,received,Demand-driven synthetic replenishment delivery
80,80,2025-12-27,received,Demand-driven synthetic replenishment delivery
81,81,2025-12-27,received,Demand-driven synthetic replenishment delivery
82,82,2025-12-27,received,Demand-driven synthetic replenishment delivery
83,83,2025-12-28,received,Demand-driven synthetic replenishment delivery
84,84,2025-12-29,received,Demand-driven synthetic replenishment delivery
85,85,2025-12-26,partial,Demand-driven synthetic replenishment delivery
86,86,2025-12-27,received,Demand-driven synthetic replenishment delivery
87,87,2025-12-27,received,Demand-driven synthetic replenishment delivery
88,88,2025-12-27,received,Demand-driven synthetic replenishment delivery
89,89,2025-12-28,received,Demand-driven synthetic replenishment delivery
90,90,2026-01-05,received,Demand-driven synthetic replenishment delivery
91,91,2026-01-02,received,Demand-driven synthetic replenishment delivery
92,92,2026-01-03,received,Demand-driven synthetic replenishment delivery
93,93,2026-01-03,received,Demand-driven synthetic replenishment delivery
94,94,2026-01-03,received,Demand-driven synthetic replenishment delivery
95,95,2026-01-04,received,Demand-driven synthetic replenishment delivery
96,96,2026-01-05,received,Demand-driven synthetic replenishment delivery
97,97,2026-01-02,received,Demand-driven synthetic replenishment delivery
98,98,2026-01-03,received,Demand-driven synthetic replenishment delivery
99,99,2026-01-03,received,Demand-driven synthetic replenishment delivery
100,100,2026-01-03,received,Demand-driven synthetic replenishment delivery
101,101,2026-01-11,received,Demand-driven synthetic replenishment delivery
102,102,2026-01-12,partial,Demand-driven synthetic replenishment delivery
103,103,2026-01-09,received,Demand-driven synthetic replenishment delivery
104,104,2026-01-10,received,Demand-driven synthetic replenishment delivery
105,105,2026-01-10,received,Demand-driven synthetic replenishment delivery
106,106,2026-01-10,received,Demand-driven synthetic replenishment delivery
107,107,2026-01-11,received,Demand-driven synthetic replenishment delivery
108,108,2026-01-12,received,Demand-driven synthetic replenishment delivery
109,109,2026-01-09,received,Demand-driven synthetic replenishment delivery
110,110,2026-01-10,received,Demand-driven synthetic replenishment delivery
111,111,2026-01-10,received,Demand-driven synthetic replenishment delivery
112,112,2026-01-17,received,Demand-driven synthetic replenishment delivery
113,113,2026-01-18,received,Demand-driven synthetic replenishment delivery
114,114,2026-01-19,received,Demand-driven synthetic replenishment delivery
115,115,2026-01-16,received,Demand-driven synthetic replenishment delivery
116,116,2026-01-17,received,Demand-driven synthetic replenishment delivery
117,117,2026-01-17,received,Demand-driven synthetic replenishment delivery
118,118,2026-01-17,received,Demand-driven synthetic replenishment delivery
119,119,2026-01-18,partial,Demand-driven synthetic replenishment delivery
120,120,2026-01-19,received,Demand-driven synthetic replenishment delivery
121,121,2026-01-16,received,Demand-driven synthetic replenishment delivery
122,122,2026-01-24,received,Demand-driven synthetic replenishment delivery
123,123,2026-01-24,received,Demand-driven synthetic replenishment delivery
124,124,2026-01-24,received,Demand-driven synthetic replenishment delivery
125,125,2026-01-25,received,Demand-driven synthetic replenishment delivery
126,126,2026-01-26,received,Demand-driven synthetic replenishment delivery
127,127,2026-01-23,received,Demand-driven synthetic replenishment delivery
128,128,2026-01-24,received,Demand-driven synthetic replenishment delivery
129,129,2026-01-24,received,Demand-driven synthetic replenishment delivery
130,130,2026-01-24,received,Demand-driven synthetic replenishment delivery
131,131,2026-01-25,received,Demand-driven synthetic replenishment delivery
132,132,2026-02-02,received,Demand-driven synthetic replenishment delivery
133,133,2026-01-30,received,Demand-driven synthetic replenishment delivery
