adjustment_id,store_id,product_id,adjustment_time,adjustment_type,quantity_delta,notes
1,1,1,2025-11-01 07:00:00,manual_count,112,Opening inventory based on first 10 days of complete-population demand
2,1,2,2025-11-01 07:00:00,manual_count,101,Opening inventory based on first 10 days of complete-population demand
3,1,3,2025-11-01 07:00:00,manual_count,89,Opening inventory based on first 10 days of complete-population demand
4,1,5,2025-11-01 07:00:00,manual_count,146,Opening inventory based on first 10 days of complete-population demand
5,1,7,2025-11-01 07:00:00,manual_count,134,Opening inventory based on first 10 days of complete-population demand
6,1,9,2025-11-01 07:00:00,manual_count,90,Opening inventory based on first 10 days of complete-population demand
7,1,10,2025-11-01 07:00:00,manual_count,113,Opening inventory based on first 10 days of complete-population demand
8,1,11,2025-11-01 07:00:00,manual_count,87,Opening inventory based on first 10 days of complete-population demand
9,1,13,2025-11-01 07:00:00,manual_count,94,Opening inventory based on first 10 days of complete-population demand
10,1,14,2025-11-01 07:00:00,manual_count,143,Opening inventory based on first 10 days of complete-population demand
11,1,15,2025-11-01 07:00:00,manual_count,82,Opening inventory based on first 10 days of complete-population demand
12,1,16,2025-11-01 07:00:00,manual_count,111,Opening inventory based on first 10 days of complete-population demand
13,1,17,2025-11-01 07:00:00,manual_count,101,Opening inventory based on first 10 days of complete-population demand
14,1,18,2025-11-01 07:00:00,manual_count,126,Opening inventory based on first 10 days of complete-population demand
15,1,19,2025-11-01 07:00:00,manual_count,160,Opening inventory based on first 10 days of complete-population demand
16,1,20,2025-11-01 07:00:00,manual_count,87,Opening inventory based on first 10 days of complete-population demand
17,1,21,2025-11-01 07:00:00,manual_count,126,Opening inventory based on first 10 days of complete-population demand
18,1,22,2025-11-01 07:00:00,manual_count,134,Opening inventory based on first 10 days of complete-population demand
19,1,23,2025-11-01 07:00:00,manual_count,140,Opening inventory based on first 10 days of complete-population demand
20,1,24,2025-11-01 07:00:00,manual_count,88,Opening inventory based on first 10 days of complete-population demand
21,1,25,2025-11-01 07:00:00,manual_count,100,Opening inventory based on first 10 days of complete-population demand
22,1,26,2025-11-01 07:00:00,manual_count,102,Opening inventory based on first 10 days of complete-population demand
23,1,27,2025-11-01 07:00:00,manual_count,117,Opening inventory based on first 10 days of complete-population demand
24,1,28,2025-11-01 07:00:00,manual_count,72,Opening inventory based on first 10 days of complete-population demand
25,1,29,2025-11-01 07:00:00,manual_count,136,Opening inventory based on first 10 days of complete-population demand
26,1,30,2025-11-01 07:00:00,manual_count,155,Opening inventory based on first 10 days of complete-population demand
27,1,31,2025-11-01 07:00:00,manual_count,104,Opening inventory based on first 10 days of complete-population demand
28,1,32,2025-11-01 07:00:00,manual_count,112,Opening inventory based on first 10 days of complete-population demand
29,1,33,2025-11-01 07:00:00,manual_count,122,Opening inventory based on first 10 days of complete-population demand
30,1,34,2025-11-01 07:00:00,manual_count,123,Opening inventory based on first 10 days of complete-population demand
31,1,35,2025-11-01 07:00:00,manual_count,94,Opening inventory based on first 10 days of complete-population demand
32,1,36,2025-11-01 07:00:00,manual_count,95,Opening inventory based on first 10 days of complete-population demand
33,1,37,2025-11-01 07:00:00,manual_count,96,Opening inventory based on first 10 days of complete-population demand
34,1,39,2025-11-01 07:00:00,manual_count,108,Opening inventory based on first 10 days of complete-population demand
35,1,40,2025-11-01 07:00:00,manual_count,138,Opening inventory based on first 10 days of complete-population demand
