expense_id,store_id,expense_date,expense_type,amount,description
1,1,2025-11-09,rent,8538.74,Monthly store rent
2,1,2025-11-07,utilities,1076.51,"Electricity, water, and internet"
3,1,2025-11-10,supplies,377.02,Cleaning and office supplies
4,1,2025-11-30,wages,9748.97,Calculated from completed synthetic staff shifts
5,2,2025-11-11,rent,7657.26,Monthly store rent
6,2,2025-11-08,utilities,1351.29,"Electricity, water, and internet"
7,2,2025-11-10,supplies,216.52,Cleaning and office supplies
8,2,2025-11-30,wages,9508.08,Calculated from completed synthetic staff shifts
9,3,2025-11-03,rent,8069.46,Monthly store rent
10,3,2025-11-02,utilities,790.83,"Electricity, water, and internet"
11,3,2025-11-07,supplies,356.90,Cleaning and office supplies
12,3,2025-11-30,wages,10111.78,Calculated from completed synthetic staff shifts
13,3,2025-11-10,other,1549.51,Synthetic other expense
14,1,2025-12-09,rent,9450.74,Monthly store rent
15,1,2025-12-02,utilities,1201.22,"Electricity, water, and internet"
16,1,2025-12-05,supplies,313.18,Cleaning and office supplies
17,1,2025-12-31,wages,8637.23,Calculated from completed synthetic staff shifts
18,1,2025-12-14,other,342.82,Synthetic other expense
19,2,2025-12-09,rent,7473.22,Monthly store rent
20,2,2025-12-06,utilities,761.91,"Electricity, water, and internet"
21,2,2025-12-05,supplies,350.14,Cleaning and office supplies
22,2,2025-12-31,wages,9296.82,Calculated from completed synthetic staff shifts
23,3,2025-12-02,rent,7281.51,Monthly store rent
24,3,2025-12-10,utilities,1320.44,"Electricity, water, and internet"
25,3,2025-12-05,supplies,335.88,Cleaning and office supplies
26,3,2025-12-31,wages,12961.25,Calculated from completed synthetic staff shifts
27,1,2026-01-02,rent,9347.95,Monthly store rent
28,1,2026-01-09,utilities,834.77,"Electricity, water, and internet"
29,1,2026-01-07,supplies,280.26,Cleaning and office supplies
30,1,2026-01-31,wages,8388.95,Calculated from completed synthetic staff shifts
31,2,2026-01-02,rent,6691.09,Monthly store rent
32,2,2026-01-01,utilities,1030.27,"Electricity, water, and internet"
33,2,2026-01-04,supplies,391.49,Cleaning and office supplies
34,2,2026-01-31,wages,9233.22,Calculated from completed synthetic staff shifts
35,3,2026-01-11,rent,7621.25,Monthly store rent
36,3,2026-01-10,utilities,1121.32,"Electricity, water, and internet"
37,3,2026-01-01,supplies,350.75,Cleaning and office supplies
38,3,2026-01-31,wages,10896.02,Calculated from completed synthetic staff shifts
39,3,2026-01-22,maintenance,841.10,Synthetic maintenance expense
40,1,2026-02-04,rent,7614.06,Monthly store rent
41,1,2026-02-11,utilities,708.46,"Electricity, water, and internet"
42,1,2026-02-08,supplies,396.54,Cleaning and office supplies
43,1,2026-02-28,wages,8097.88,Calculated from completed synthetic staff shifts
44,2,2026-02-06,rent,7777.58,Monthly store rent
45,2,2026-02-01,utilities,923.64,"Electricity, water, and internet"
46,2,2026-02-02,supplies,195.13,Cleaning and office supplies
47,2,2026-02-28,wages,7166.96,Calculated from completed synthetic staff shifts
48,3,2026-02-08,rent,6700.96,Monthly store rent
49,3,2026-02-02,utilities,704.78,"Electricity, water, and internet"
