payment_id,sale_id,payment_method,payment_amount,payment_time
1,2,credit_card,13.37,2025-11-10 11:31:00
2,3,cash,108.43,2026-02-27 12:46:00
3,4,debit_card,48.35,2025-12-17 12:16:00
4,5,gift_card,14.67,2026-02-08 20:56:00
5,6,debit_card,10.87,2026-05-30 14:21:00
6,7,cash,58.26,2026-02-21 08:11:00
7,8,gift_card,10.87,2025-11-04 20:16:00
8,8,debit_card,16.31,2025-11-04 20:16:00
9,10,gift_card,52.22,2026-03-07 13:11:00
10,11,credit_card,62.49,2026-02-03 20:21:00
11,12,gift_card,77.13,2026-07-14 14:06:00
12,13,debit_card,12.36,2026-02-11 18:06:00
13,14,gift_card,78.26,2026-04-15 14:46:00
14,15,debit_card,62.16,2026-05-10 17:51:00
15,17,debit_card,86.52,2025-11-08 12:41:00
16,18,debit_card,96.74,2026-05-08 15:21:00
17,19,credit_card,29.90,2026-01-05 14:06:00
18,20,credit_card,59.12,2025-12-21 12:51:00
19,22,credit_card,9.78,2026-06-09 11:31:00
20,23,gift_card,60.87,2025-11-15 15:36:00
21,24,cash,50.65,2026-01-23 19:16:00
22,25,credit_card,14.67,2026-03-13 16:36:00
23,26,cash,25.11,2026-06-13 17:36:00
24,27,gift_card,54.35,2025-12-31 14:41:00
25,28,gift_card,50.87,2026-02-07 20:41:00
26,29,mobile_pay,77.28,2026-06-22 14:46:00
27,30,debit_card,67.18,2025-11-06 15:36:00
28,31,mobile_pay,76.84,2025-11-14 14:01:00
29,32,debit_card,41.84,2026-05-30 19:36:00
30,33,credit_card,35.45,2026-04-22 10:11:00
31,34,mobile_pay,46.74,2025-12-15 17:11:00
32,35,credit_card,50.61,2026-06-17 12:51:00
33,36,mobile_pay,45.64,2025-11-23 14:36:00
34,37,debit_card,8.69,2025-11-29 12:06:00
35,38,cash,38.41,2026-05-20 14:16:00
36,39,cash,39.14,2026-06-27 20:11:00
37,40,cash,23.09,2025-11-18 12:31:00
38,40,debit_card,34.64,2025-11-18 12:31:00
39,41,cash,63.92,2025-12-09 14:01:00
40,42,gift_card,48.48,2026-03-26 18:11:00
41,43,debit_card,69.14,2026-07-12 10:41:00
42,44,gift_card,38.59,2026-03-13 08:06:00
43,45,cash,29.34,2026-01-15 11:41:00
44,46,debit_card,44.75,2026-07-03 17:41:00
45,47,mobile_pay,40.77,2025-11-13 15:01:00
46,48,mobile_pay,27.18,2025-12-02 19:31:00
47,49,cash,53.81,2025-11-09 09:11:00
48,50,gift_card,62.93,2026-06-17 15:51:00
49,51,credit_card,7.60,2026-01-02 11:26:00
50,52,gift_card,6.52,2026-01-23 09:56:00
51,53,debit_card,16.30,2026-02-23 13:51:00
52,54,debit_card,78.77,2025-11-17 14:11:00
53,55,gift_card,53.36,2026-03-02 14:01:00
54,56,credit_card,21.19,2026-03-19 18:06:00
55,57,mobile_pay,102.87,2026-04-05 12:36:00
56,58,gift_card,113.91,2026-07-30 16:11:00
57,59,credit_card,39.76,2026-04-18 11:46:00
58,60,cash,78.81,2026-04-22 14:51:00
59,61,debit_card,65.30,2025-12-15 16:11:00
60,62,mobile_pay,26.18,2026-03-07 11:26:00
61,63,debit_card,69.89,2025-12-11 13:31:00
62,64,mobile_pay,82.06,2026-03-08 08:41:00
63,65,debit_card,51.38,2026-04-22 10:21:00
64,66,gift_card,13.02,2026-06-25 10:26:00
65,67,gift_card,77.28,2025-12-18 12:11:00
66,68,credit_card,24.01,2026-07-31 12:26:00
67,69,cash,5.42,2026-05-17 12:26:00
68,70,mobile_pay,105.47,2025-12-24 20:26:00
69,71,credit_card,51.08,2025-11-15 17:41:00
70,72,gift_card,118.51,2026-03-15 12:36:00
71,73,credit_card,18.48,2026-07-14 15:11:00
72,74,mobile_pay,14.13,2025-12-25 14:06:00
73,75,cash,48.91,2026-06-11 17:11:00
74,76,mobile_pay,53.85,2026-07-20 13:51:00
75,77,credit_card,109.78,2026-05-21 19:26:00
76,78,cash,7.71,2026-06-14 13:21:00
77,79,debit_card,157.86,2025-11-27 16:41:00
78,80,credit_card,11.95,2026-01-19 12:56:00
79,81,mobile_pay,36.42,2026-06-24 09:11:00
80,82,debit_card,66.83,2026-05-26 20:46:00
81,83,mobile_pay,23.91,2026-05-30 14:01:00
82,84,debit_card,61.98,2025-12-18 20:56:00
83,85,mobile_pay,82.63,2026-04-30 13:26:00
84,86,cash,103.68,2026-07-20 18:26:00
85,87,mobile_pay,23.89,2026-04-07 20:51:00
86,88,cash,53.26,2025-12-24 11:21:00
87,89,credit_card,81.04,2026-04-11 16:31:00
88,90,credit_card,36.83,2026-07-26 19:26:00
89,91,cash,23.57,2026-03-09 12:46:00
90,92,credit_card,39.74,2026-06-10 09:41:00
91,93,cash,19.56,2026-07-10 12:51:00
92,94,cash,50.41,2026-03-16 10:01:00
93,95,credit_card,72.14,2026-03-05 18:26:00
94,96,gift_card,3.80,2025-12-20 12:31:00
95,97,credit_card,4.89,2025-11-03 13:21:00
96,98,gift_card,57.69,2026-04-04 12:01:00
97,99,gift_card,57.39,2026-06-23 14:26:00
98,100,credit_card,69.33,2026-04-29 17:11:00
99,101,mobile_pay,85.33,2026-03-22 20:16:00
100,102,cash,88.08,2025-11-18 12:26:00
101,103,debit_card,49.54,2026-07-18 16:26:00
102,104,gift_card,39.64,2026-02-16 10:56:00
103,105,mobile_pay,64.69,2026-01-02 12:06:00
104,106,debit_card,43.13,2026-05-14 12:11:00
105,107,gift_card,97.30,2026-02-27 15:36:00
106,108,debit_card,58.69,2026-05-05 16:16:00
107,109,mobile_pay,40.84,2026-03-27 13:11:00
108,110,debit_card,53.71,2025-11-26 20:16:00
109,111,debit_card,86.52,2025-11-24 19:11:00
110,112,credit_card,4.89,2025-11-16 13:51:00
111,113,debit_card,10.84,2025-12-28 13:31:00
112,114,cash,48.13,2026-05-23 17:31:00
113,115,gift_card,59.43,2025-11-25 19:46:00
114,116,cash,11.41,2026-05-15 17:36:00
115,117,cash,20.64,2026-07-31 16:41:00
116,118,gift_card,102.84,2026-05-18 08:41:00
117,119,mobile_pay,45.85,2026-05-12 15:36:00
118,120,cash,13.04,2025-12-10 20:56:00
119,121,credit_card,11.95,2026-01-28 11:36:00
120,122,gift_card,70.33,2026-04-02 19:21:00
121,123,gift_card,39.12,2026-03-30 13:46:00
122,124,mobile_pay,98.33,2026-02-14 13:41:00
123,125,credit_card,3.26,2026-01-18 11:56:00
124,126,debit_card,25.30,2026-05-31 17:41:00
125,127,debit_card,21.73,2025-12-21 13:01:00
126,128,debit_card,47.84,2026-02-17 20:06:00
127,130,gift_card,32.62,2026-04-20 14:46:00
128,131,mobile_pay,139.16,2026-01-02 08:26:00
129,132,mobile_pay,52.79,2026-01-28 11:01:00
130,133,debit_card,7.61,2026-02-25 14:41:00
131,134,cash,50.52,2025-12-14 16:06:00
132,136,cash,79.02,2026-07-28 08:21:00
133,137,credit_card,89.72,2025-11-04 17:26:00
134,138,credit_card,67.91,2026-02-22 18:56:00
135,139,debit_card,9.34,2026-02-25 16:06:00
136,140,mobile_pay,44.67,2026-02-27 15:01:00
137,141,cash,114.16,2026-02-18 15:41:00
138,142,mobile_pay,23.04,2026-03-31 11:06:00
139,143,cash,44.01,2026-05-13 16:01:00
140,144,debit_card,49.45,2026-04-09 13:41:00
141,145,gift_card,16.28,2025-12-19 15:16:00
142,146,cash,33.14,2026-07-16 18:06:00
143,147,cash,46.74,2026-03-08 16:06:00
144,148,gift_card,32.00,2026-02-08 09:46:00
145,149,gift_card,95.74,2026-05-28 18:46:00
146,150,debit_card,4.89,2026-04-20 10:56:00
147,151,cash,60.32,2025-11-22 09:26:00
148,152,gift_card,21.20,2026-07-18 12:46:00
149,153,debit_card,17.86,2026-06-16 15:21:00
150,153,credit_card,26.79,2026-06-16 15:21:00
151,154,mobile_pay,27.96,2025-12-07 20:26:00
152,154,credit_card,41.93,2025-12-07 20:26:00
153,155,mobile_pay,56.19,2026-04-18 12:01:00
154,156,credit_card,67.94,2026-05-13 14:36:00
155,157,credit_card,24.99,2026-03-27 17:06:00
156,158,credit_card,7.61,2026-07-26 09:01:00
157,159,debit_card,97.27,2026-07-04 19:31:00
158,160,credit_card,83.89,2026-04-29 14:46:00
159,161,credit_card,40.41,2026-04-06 13:46:00
160,162,credit_card,68.11,2026-04-22 15:46:00
161,163,debit_card,70.15,2026-05-22 17:21:00
162,164,gift_card,145.60,2026-05-01 16:31:00
163,165,mobile_pay,25.22,2026-01-13 13:16:00
