purchase_order_item_id,purchase_order_id,vendor_product_id,quantity_ordered,quantity_received,quantity_damaged,quantity_missing,unit_purchase_cost
1,1,5,20,20,0,0,4.11
2,1,15,30,30,0,0,3.62
3,1,25,48,48,0,0,1.28
4,1,33,36,36,0,0,3.95
5,1,35,8,8,0,0,3.31
6,2,4,20,20,0,0,2.59
7,2,41,30,30,0,0,3.15
8,2,68,24,24,0,0,5.73
9,2,93,24,24,0,0,4.56
10,3,43,24,24,0,0,5.72
11,3,54,36,36,0,0,5.84
12,3,65,20,20,0,0,2.67
13,4,60,20,20,0,0,3.45
14,4,81,30,30,0,0,4.75
15,4,88,24,24,0,0,5.55
16,5,22,40,40,0,0,0.42
17,5,51,40,40,0,0,5.91
18,5,62,40,40,0,0,2.54
19,5,84,36,36,0,0,2.51
20,6,27,40,40,0,0,3.55
21,6,46,10,10,0,0,2.59
22,7,19,24,24,0,0,3.44
23,7,59,24,24,0,0,3.42
24,8,71,30,30,0,0,5.16
25,9,16,24,24,0,0,3.12
26,9,56,24,24,0,0,2.26
27,9,57,20,20,0,0,2.74
28,9,91,16,16,0,0,3.36
29,10,5,80,80,0,0,4.11
30,10,15,70,70,0,0,3.62
31,10,18,80,80,0,0,3.55
32,10,25,96,96,0,0,1.28
33,10,35,48,48,0,0,3.31
34,11,17,64,64,0,0,2.82
35,11,24,72,72,0,0,3.85
36,11,45,60,60,0,0,1.99
37,11,68,56,56,1,0,5.73
38,11,76,84,84,0,0,2.79
39,12,11,72,72,0,0,1.74
40,12,43,60,60,0,0,5.72
41,12,53,96,96,0,0,3.24
42,12,54,36,36,0,0,5.84
43,12,65,60,60,0,0,2.67
44,13,26,48,48,0,0,2.79
45,13,29,90,90,0,0,2.02
46,13,37,66,66,0,0,3.17
47,13,81,60,60,0,0,4.75
48,14,3,48,48,0,0,2.24
49,14,31,72,72,0,0,3.41
50,14,34,30,30,0,0,4.52
51,14,48,54,54,0,0,9.61
52,14,61,60,60,0,0,2.75
53,15,40,72,72,0,0,2.81
54,15,49,48,48,0,0,5.09
55,15,72,72,72,0,0,5.20
56,16,28,120,120,0,0,1.80
57,16,58,66,66,0,0,3.32
58,16,59,78,78,0,0,3.42
59,17,9,108,105,0,3,5.04
60,17,23,36,35,0,1,0.58
61,17,39,88,85,0,3,3.11
62,17,63,48,46,0,2,2.52
63,17,85,60,57,0,3,2.27
64,17,92,60,57,0,3,3.69
65,18,1,72,72,0,0,4.01
66,18,56,72,72,0,0,2.26
67,18,70,60,60,0,0,4.60
68,18,82,50,50,0,0,2.25
69,18,87,72,72,0,0,5.10
70,18,91,80,80,0,0,3.36
71,19,5,80,80,0,0,4.11
72,19,15,60,60,0,0,3.62
73,19,25,48,48,0,0,1.28
74,19,33,72,72,1,0,3.95
75,19,35,88,88,0,0,3.31
76,20,4,60,60,0,0,2.59
77,20,12,32,32,0,0,1.79
78,20,24,72,72,0,0,3.85
79,20,38,54,54,0,0,3.96
80,20,41,50,50,0,0,3.15
81,20,47,36,36,0,0,6.60
82,21,93,72,72,0,0,4.56
83,22,43,84,84,0,0,5.72
84,22,44,36,36,0,0,2.07
85,22,54,72,72,0,0,5.84
86,23,60,60,60,0,0,3.45
87,23,83,48,48,0,0,2.63
88,23,88,48,48,0,0,5.55
89,24,22,60,60,0,0,0.42
90,24,51,72,72,0,0,5.91
91,24,62,40,40,0,0,2.54
92,25,27,80,80,0,0,3.55
93,25,52,40,40,0,0,3.32
94,25,64,56,56,0,0,3.05
95,25,80,96,96,0,0,3.36
96,25,86,64,64,0,0,1.84
97,26,19,42,42,0,0,3.44
98,26,28,48,48,0,0,1.80
99,26,58,84,84,0,0,3.32
100,26,59,48,48,0,0,3.42
101,27,30,72,72,0,0,2.13
102,27,39,48,48,0,0,3.11
103,27,67,36,36,0,0,4.16
104,28,1,72,72,0,0,4.01
105,28,8,24,24,0,0,5.95
106,28,16,96,96,0,0,3.12
107,28,32,70,70,0,0,2.42
108,28,56,48,48,0,0,2.26
109,28,70,40,40,0,0,4.60
110,29,73,48,48,0,0,5.73
111,29,74,80,80,1,0,2.46
112,29,91,48,48,0,0,3.36
113,30,5,60,60,0,0,4.11
114,30,15,70,70,0,0,3.62
115,30,18,60,60,0,0,3.55
116,30,25,48,48,0,0,1.28
117,30,33,36,36,0,0,3.95
118,31,17,48,48,0,0,2.82
119,31,24,72,72,0,0,3.85
120,31,45,72,72,0,0,1.99
121,31,68,72,72,0,0,5.73
122,31,76,78,78,0,0,2.79
123,32,11,72,72,0,0,1.74
124,32,43,72,72,0,0,5.72
125,32,53,96,96,0,0,3.24
126,32,54,36,36,0,0,5.84
127,32,65,90,90,0,0,2.67
128,33,26,36,36,0,0,2.79
129,33,29,72,72,0,0,2.02
130,33,37,84,84,0,0,3.17
131,33,81,70,70,0,0,4.75
132,34,31,72,69,0,3,3.41
133,34,48,96,93,0,3,9.61
134,34,61,60,57,0,3,2.75
