sale_id,store_id,sale_time,sale_status,subtotal_amount,discount_amount,tax_amount,refund_amount,total_amount
1,1,2026-04-23 12:35:00,voided,0,0,0,0,0
2,3,2025-11-10 11:30:00,completed,14.28,2.00,1.09,0,13.37
3,2,2026-02-27 12:45:00,completed,101.59,2.00,8.84,0,108.43
4,2,2025-12-17 12:15:00,completed,44.41,0.00,3.94,0,48.35
5,3,2026-02-08 20:55:00,completed,13.47,0.00,1.20,0,14.67
6,3,2026-05-30 14:20:00,completed,9.98,0.00,0.89,0,10.87
7,2,2026-02-21 08:10:00,completed,55.01,1.50,4.75,0,58.26
8,3,2025-11-04 20:15:00,completed,24.96,0.00,2.22,0,27.18
9,1,2025-11-06 08:40:00,voided,0,0,0,0,0
10,3,2026-03-07 13:10:00,completed,47.96,0.00,4.26,0,52.22
11,2,2026-02-03 20:20:00,completed,58.40,1.00,5.09,0,62.49
12,2,2026-07-14 14:05:00,completed,71.84,1.00,6.29,0,77.13
13,3,2026-02-11 18:05:00,completed,13.35,2.00,1.01,0,12.36
14,2,2026-04-15 14:45:00,completed,71.88,0.00,6.38,0,78.26
15,1,2026-05-10 17:50:00,completed,58.09,1.00,5.07,0,62.16
16,2,2026-02-26 17:00:00,voided,0,0,0,0,0
17,2,2025-11-08 12:40:00,completed,80.97,1.50,7.05,0,86.52
18,2,2026-05-08 15:20:00,completed,88.85,0.00,7.89,0,96.74
19,1,2026-01-05 14:05:00,completed,27.46,0.00,2.44,0,29.90
20,2,2025-12-21 12:50:00,completed,54.30,0.00,4.82,0,59.12
21,1,2026-03-15 08:45:00,voided,0,0,0,0,0
22,2,2026-06-09 11:30:00,completed,8.98,0.00,0.80,0,9.78
23,3,2025-11-15 15:35:00,completed,56.41,0.50,4.96,0,60.87
24,3,2026-01-23 19:15:00,completed,46.52,0.00,4.13,0,50.65
25,2,2026-03-13 16:35:00,completed,13.47,0.00,1.20,0,14.67
26,1,2026-06-13 17:35:00,completed,23.06,0.00,2.05,0,25.11
27,1,2025-12-31 14:40:00,completed,49.92,0.00,4.43,0,54.35
28,3,2026-02-07 20:40:00,completed,46.72,0.00,4.15,0,50.87
29,1,2026-06-22 14:45:00,completed,70.98,0.00,6.30,0,77.28
30,2,2025-11-06 15:35:00,completed,61.70,0.00,5.48,0,67.18
31,3,2025-11-14 14:00:00,completed,71.08,0.50,6.26,0,76.84
32,1,2026-05-30 19:35:00,completed,38.43,0.00,3.41,0,41.84
33,3,2026-04-22 10:10:00,completed,32.56,0.00,2.89,0,35.45
34,1,2025-12-15 17:10:00,completed,43.93,1.00,3.81,0,46.74
35,3,2026-06-17 12:50:00,completed,47.48,1.00,4.13,0,50.61
36,3,2025-11-23 14:35:00,partially_refunded,41.92,0.00,3.72,7.07,45.64
37,1,2025-11-29 12:05:00,completed,7.98,0.00,0.71,0,8.69
38,3,2026-05-20 14:15:00,completed,37.78,2.50,3.13,0,38.41
39,1,2026-06-27 20:10:00,completed,36.95,1.00,3.19,0,39.14
40,2,2025-11-18 12:30:00,completed,55.02,2.00,4.71,0,57.73
41,1,2025-12-09 14:00:00,partially_refunded,60.21,1.50,5.21,18.49,63.92
42,2,2026-03-26 18:10:00,completed,46.03,1.50,3.95,0,48.48
43,3,2026-07-12 10:40:00,completed,67.00,3.50,5.64,0,69.14
44,2,2026-03-13 08:05:00,completed,35.44,0.00,3.15,0,38.59
45,2,2026-01-15 11:40:00,completed,26.95,0.00,2.39,0,29.34
46,3,2026-07-03 17:40:00,partially_refunded,43.10,2.00,3.65,9.79,44.75
47,1,2025-11-13 15:00:00,completed,38.45,1.00,3.32,0,40.77
48,2,2025-12-02 19:30:00,completed,24.96,0.00,2.22,0,27.18
49,1,2025-11-09 09:10:00,completed,50.92,1.50,4.39,0,53.81
50,3,2026-06-17 15:50:00,completed,61.80,4.00,5.13,0,62.93
51,1,2026-01-02 11:25:00,completed,6.98,0.00,0.62,0,7.60
52,3,2026-01-23 09:55:00,completed,5.99,0.00,0.53,0,6.52
53,2,2026-02-23 13:50:00,completed,14.97,0.00,1.33,0,16.30
54,2,2025-11-17 14:10:00,completed,75.85,3.50,6.42,0,78.77
55,3,2026-03-02 14:00:00,completed,49.01,0.00,4.35,0,53.36
