shift_id,employee_id,store_id,scheduled_start,scheduled_end,actual_start,actual_end,shift_status
1,1,1,2025-11-19 16:00:00,2025-11-19 22:00:00,2025-11-19 16:00:00,2025-11-19 22:00:00,completed
2,1,1,2025-11-20 08:00:00,2025-11-20 16:00:00,2025-11-20 08:00:00,2025-11-20 16:00:00,completed
3,1,1,2026-05-09 16:30:00,2026-05-09 22:00:00,2026-05-09 16:30:00,2026-05-09 22:00:00,completed
4,1,1,2025-11-20 16:15:00,2025-11-20 22:00:00,2025-11-20 16:15:00,2025-11-20 22:00:00,completed
5,1,1,2026-05-03 08:00:00,2026-05-03 16:00:00,2026-05-03 08:00:00,2026-05-03 16:00:00,completed
6,1,1,2025-11-01 08:30:00,2025-11-01 16:30:00,2025-11-01 08:30:00,2025-11-01 16:30:00,completed
7,1,1,2025-11-21 08:00:00,2025-11-21 16:00:00,2025-11-21 08:00:00,2025-11-21 16:00:00,completed
8,1,1,2025-11-21 16:15:00,2025-11-21 22:00:00,2025-11-21 16:15:00,2025-11-21 22:00:00,completed
9,1,1,2026-05-10 08:00:00,2026-05-10 16:00:00,2026-05-10 08:00:00,2026-05-10 16:00:00,completed
10,1,1,2025-11-22 08:00:00,2025-11-22 16:00:00,2025-11-22 08:00:00,2025-11-22 16:00:00,completed
11,1,1,2025-11-22 16:15:00,2025-11-22 22:00:00,2025-11-22 16:15:00,2025-11-22 22:00:00,completed
12,1,1,2025-11-01 16:30:00,2025-11-01 22:00:00,2025-11-01 16:30:00,2025-11-01 22:00:00,completed
13,1,1,2025-11-23 08:00:00,2025-11-23 16:00:00,2025-11-23 08:00:00,2025-11-23 16:00:00,completed
14,1,1,2025-11-23 16:00:00,2025-11-23 22:00:00,2025-11-23 16:00:00,2025-11-23 22:00:00,completed
15,1,1,2026-05-10 16:00:00,2026-05-10 22:00:00,2026-05-10 16:00:00,2026-05-10 22:00:00,completed
16,1,1,2025-11-24 08:00:00,2025-11-24 16:00:00,2025-11-24 08:00:00,2025-11-24 16:00:00,completed
17,1,1,2025-11-24 16:15:00,2025-11-24 22:00:00,2025-11-24 16:15:00,2025-11-24 22:00:00,completed
18,1,1,2025-11-25 08:00:00,2025-11-25 16:00:00,2025-11-25 08:00:00,2025-11-25 16:00:00,completed
19,1,1,2025-11-25 16:15:00,2025-11-25 22:00:00,2025-11-25 16:15:00,2025-11-25 22:00:00,completed
20,1,1,2025-11-02 08:00:00,2025-11-02 16:00:00,2025-11-02 08:00:00,2025-11-02 16:00:00,completed
21,1,1,2025-11-26 08:00:00,2025-11-26 16:00:00,2025-11-26 08:00:00,2025-11-26 16:00:00,completed
22,1,1,2025-11-26 16:00:00,2025-11-26 22:00:00,2025-11-26 16:00:00,2025-11-26 22:00:00,completed
23,1,1,2025-11-27 08:00:00,2025-11-27 16:00:00,2025-11-27 08:00:00,2025-11-27 16:00:00,completed
24,1,1,2025-11-27 16:00:00,2025-11-27 22:00:00,2025-11-27 16:00:00,2025-11-27 22:00:00,completed
25,1,1,2025-11-28 08:15:00,2025-11-28 16:15:00,2025-11-28 08:15:00,2025-11-28 16:15:00,completed
26,2,2,2025-11-26 08:00:00,2025-11-26 16:00:00,2025-11-26 08:00:00,2025-11-26 16:00:00,completed
27,2,2,2025-11-26 16:00:00,2025-11-26 21:00:00,2025-11-26 16:00:00,2025-11-26 21:00:00,completed
28,2,2,2025-11-27 08:15:00,2025-11-27 16:15:00,2025-11-27 08:15:00,2025-11-27 16:15:00,completed
29,2,2,2025-11-27 16:45:00,2025-11-27 21:00:00,2025-11-27 16:45:00,2025-11-27 21:00:00,completed
30,2,2,2026-07-21 08:15:00,2026-07-21 16:15:00,2026-07-21 08:15:00,2026-07-21 16:15:00,completed
31,2,2,2025-11-28 08:00:00,2025-11-28 16:00:00,2025-11-28 08:00:00,2025-11-28 16:00:00,completed
32,2,2,2025-11-28 16:15:00,2025-11-28 21:00:00,2025-11-28 16:15:00,2025-11-28 21:00:00,completed
33,2,2,2026-05-15 13:00:00,2026-05-15 17:00:00,,,cancelled
34,2,2,2025-11-29 08:15:00,2025-11-29 16:15:00,2025-11-29 08:15:00,2025-11-29 16:15:00,completed
35,2,2,2025-11-29 16:15:00,2025-11-29 21:00:00,2025-11-29 16:15:00,2025-11-29 21:00:00,completed
36,2,2,2025-11-30 08:30:00,2025-11-30 16:30:00,2025-11-30 08:30:00,2025-11-30 16:30:00,completed
37,2,2,2025-11-30 16:45:00,2025-11-30 21:00:00,2025-11-30 16:45:00,2025-11-30 21:00:00,completed
38,2,2,2025-12-01 08:00:00,2025-12-01 16:00:00,2025-12-01 08:00:00,2025-12-01 16:00:00,completed
39,2,2,2025-12-01 16:00:00,2025-12-01 21:00:00,2025-12-01 16:00:00,2025-12-01 21:00:00,completed
40,2,2,2025-12-02 08:15:00,2025-12-02 16:15:00,2025-12-02 08:15:00,2025-12-02 16:15:00,completed
41,2,2,2025-12-02 16:30:00,2025-12-02 21:00:00,2025-12-02 16:30:00,2025-12-02 21:00:00,completed
42,2,2,2026-07-21 16:15:00,2026-07-21 21:00:00,2026-07-21 16:15:00,2026-07-21 21:00:00,completed
43,2,2,2025-12-03 08:15:00,2025-12-03 16:15:00,2025-12-03 08:15:00,2025-12-03 16:15:00,completed
44,2,2,2025-12-03 17:00:00,2025-12-03 21:00:00,2025-12-03 17:00:00,2025-12-03 21:00:00,completed
45,2,2,2026-01-28 11:00:00,2026-01-28 17:00:00,,,cancelled
46,2,2,2025-12-04 08:00:00,2025-12-04 16:00:00,2025-12-04 08:00:00,2025-12-04 16:00:00,completed
47,2,2,2025-12-04 16:30:00,2025-12-04 21:00:00,2025-12-04 16:30:00,2025-12-04 21:00:00,completed
48,2,2,2026-07-22 09:00:00,2026-07-22 17:00:00,2026-07-22 09:00:00,2026-07-22 17:00:00,completed
49,2,2,2026-07-22 17:00:00,2026-07-22 21:00:00,2026-07-22 17:00:00,2026-07-22 21:00:00,completed
50,2,2,2025-12-05 08:00:00,2025-12-05 16:00:00,2025-12-05 08:00:00,2025-12-05 16:00:00,completed
51,2,2,2025-12-05 17:00:00,2025-12-05 21:00:00,2025-12-05 17:00:00,2025-12-05 21:00:00,completed
52,2,2,2025-11-01 08:00:00,2025-11-01 16:00:00,2025-11-01 08:00:00,2025-11-01 16:00:00,completed
53,2,2,2025-12-06 08:00:00,2025-12-06 16:00:00,2025-12-06 08:00:00,2025-12-06 16:00:00,completed
54,2,2,2026-03-30 11:00:00,2026-03-30 17:00:00,,,cancelled
55,2,2,2025-12-06 16:00:00,2025-12-06 21:00:00,2025-12-06 16:00:00,2025-12-06 21:00:00,completed
56,2,2,2025-12-07 08:30:00,2025-12-07 16:30:00,2025-12-07 08:30:00,2025-12-07 16:30:00,completed
57,2,2,2025-12-07 16:30:00,2025-12-07 21:00:00,2025-12-07 16:30:00,2025-12-07 21:00:00,completed
58,3,3,2025-11-30 17:00:00,2025-11-30 21:00:00,2025-11-30 17:00:00,2025-11-30 21:00:00,completed
59,3,3,2025-12-01 09:00:00,2025-12-01 17:00:00,2025-12-01 09:00:00,2025-12-01 17:00:00,completed
60,3,3,2025-12-01 17:00:00,2025-12-01 21:00:00,2025-12-01 17:00:00,2025-12-01 21:00:00,completed
61,3,3,2025-12-02 09:00:00,2025-12-02 17:00:00,2025-12-02 09:00:00,2025-12-02 17:00:00,completed
62,3,3,2025-12-02 17:00:00,2025-12-02 21:00:00,2025-12-02 17:00:00,2025-12-02 21:00:00,completed
63,3,3,2025-12-03 09:00:00,2025-12-03 17:00:00,2025-12-03 09:00:00,2025-12-03 17:00:00,completed
64,3,3,2025-12-03 17:00:00,2025-12-03 21:00:00,2025-12-03 17:00:00,2025-12-03 21:00:00,completed
65,3,3,2025-11-01 09:00:00,2025-11-01 17:00:00,2025-11-01 09:00:00,2025-11-01 17:00:00,completed
66,3,3,2025-11-01 17:00:00,2025-11-01 21:00:00,2025-11-01 17:00:00,2025-11-01 21:00:00,completed
67,3,3,2025-12-04 09:15:00,2025-12-04 17:15:00,2025-12-04 09:15:00,2025-12-04 17:15:00,completed
68,3,3,2025-11-02 09:00:00,2025-11-02 17:00:00,2025-11-02 09:00:00,2025-11-02 17:00:00,completed
69,5,3,2025-12-04 17:00:00,2025-12-04 21:00:00,2025-12-04 17:00:00,2025-12-04 21:00:00,completed
70,3,3,2025-12-05 09:00:00,2025-12-05 17:00:00,2025-12-05 09:00:00,2025-12-05 17:00:00,completed
71,3,3,2025-12-05 17:00:00,2025-12-05 21:00:00,2025-12-05 17:00:00,2025-12-05 21:00:00,completed
72,3,3,2025-12-06 09:15:00,2025-12-06 17:15:00,2025-12-06 09:15:00,2025-12-06 17:15:00,completed
73,5,3,2025-12-06 17:00:00,2025-12-06 21:00:00,2025-12-06 17:00:00,2025-12-06 21:00:00,completed
74,3,3,2025-12-28 09:00:00,2025-12-28 17:00:00,,,cancelled
75,3,3,2025-12-07 09:00:00,2025-12-07 17:00:00,2025-12-07 09:00:00,2025-12-07 17:00:00,completed
76,3,3,2025-12-07 17:00:00,2025-12-07 21:00:00,2025-12-07 17:00:00,2025-12-07 21:00:00,completed
77,4,3,2025-12-08 09:00:00,2025-12-08 17:00:00,2025-12-08 09:00:00,2025-12-08 17:00:00,completed
78,4,3,2025-11-02 17:00:00,2025-11-02 21:00:00,2025-11-02 17:00:00,2025-11-02 21:00:00,completed
79,4,3,2025-12-08 17:00:00,2025-12-08 21:00:00,2025-12-08 17:00:00,2025-12-08 21:00:00,completed
80,4,3,2025-12-09 09:00:00,2025-12-09 17:00:00,2025-12-09 09:00:00,2025-12-09 17:00:00,completed
81,4,3,2025-12-09 17:00:00,2025-12-09 21:00:00,2025-12-09 17:00:00,2025-12-09 21:00:00,completed
82,4,3,2025-12-10 09:00:00,2025-12-10 17:00:00,2025-12-10 09:00:00,2025-12-10 17:00:00,completed
83,4,3,2025-12-10 17:00:00,2025-12-10 21:00:00,2025-12-10 17:00:00,2025-12-10 21:00:00,completed
84,4,3,2025-12-11 09:00:00,2025-12-11 17:00:00,2025-12-11 09:00:00,2025-12-11 17:00:00,completed
85,4,3,2025-12-11 17:00:00,2025-12-11 21:00:00,2025-12-11 17:00:00,2025-12-11 21:00:00,completed
86,4,3,2025-12-12 09:00:00,2025-12-12 17:00:00,2025-12-12 09:00:00,2025-12-12 17:00:00,completed
87,4,3,2025-12-12 17:00:00,2025-12-12 21:00:00,2025-12-12 17:00:00,2025-12-12 21:00:00,completed
88,4,3,2025-12-13 09:00:00,2025-12-13 17:00:00,2025-12-13 09:00:00,2025-12-13 17:00:00,completed
89,4,3,2025-12-13 17:00:00,2025-12-13 21:00:00,2025-12-13 17:00:00,2025-12-13 21:00:00,completed
90,4,3,2025-12-14 09:00:00,2025-12-14 17:00:00,2025-12-14 09:00:00,2025-12-14 17:00:00,completed
91,4,3,2025-12-14 17:00:00,2025-12-14 21:00:00,2025-12-14 17:00:00,2025-12-14 21:00:00,completed
92,4,3,2025-12-15 09:00:00,2025-12-15 17:00:00,2025-12-15 09:00:00,2025-12-15 17:00:00,completed
93,4,3,2025-12-15 17:00:00,2025-12-15 21:00:00,2025-12-15 17:00:00,2025-12-15 21:00:00,completed
94,4,3,2025-12-16 09:00:00,2025-12-16 17:00:00,2025-12-16 09:00:00,2025-12-16 17:00:00,completed
95,4,3,2025-12-16 17:00:00,2025-12-16 21:00:00,2025-12-16 17:00:00,2025-12-16 21:00:00,completed
96,4,3,2025-12-17 09:00:00,2025-12-17 17:00:00,2025-12-17 09:00:00,2025-12-17 17:00:00,completed
97,4,3,2025-12-17 17:00:00,2025-12-17 21:00:00,2025-12-17 17:00:00,2025-12-17 21:00:00,completed
98,4,3,2025-12-18 09:00:00,2025-12-18 17:00:00,2025-12-18 09:00:00,2025-12-18 17:00:00,completed
99,4,3,2025-12-18 17:00:00,2025-12-18 21:00:00,2025-12-18 17:00:00,2025-12-18 21:00:00,completed
100,4,3,2025-12-19 09:00:00,2025-12-19 17:00:00,2025-12-19 09:00:00,2025-12-19 17:00:00,completed
101,4,3,2025-12-27 11:00:00,2025-12-27 15:00:00,,,cancelled
102,4,3,2025-12-19 17:00:00,2025-12-19 21:00:00,2025-12-19 17:00:00,2025-12-19 21:00:00,completed
103,4,3,2025-12-20 09:00:00,2025-12-20 17:00:00,2025-12-20 09:00:00,2025-12-20 17:00:00,completed
104,4,3,2026-03-03 12:00:00,2026-03-03 18:00:00,,,missed
105,4,3,2025-12-20 17:00:00,2025-12-20 21:00:00,2025-12-20 17:00:00,2025-12-20 21:00:00,completed
106,4,3,2025-12-22 13:00:00,2025-12-22 19:00:00,,,cancelled
107,4,3,2025-12-21 09:00:00,2025-12-21 17:00:00,2025-12-21 09:00:00,2025-12-21 17:00:00,completed
