shift_id,employee_id,store_id,scheduled_start,scheduled_end,actual_start,actual_end,shift_status
1,1,1,2025-11-01 09:00:00,2025-11-01 17:00:00,2025-11-01 08:57:00,2025-11-01 17:09:00,completed
2,66,1,2025-11-01 08:00:00,2025-11-01 14:00:00,2025-11-01 07:55:00,2025-11-01 13:53:00,completed
3,17,1,2025-11-01 16:00:00,2025-11-01 22:00:00,2025-11-01 15:56:00,2025-11-01 22:09:00,completed
4,50,1,2025-11-01 10:00:00,2025-11-01 16:00:00,2025-11-01 09:56:00,2025-11-01 16:00:00,completed
5,41,1,2025-11-01 12:00:00,2025-11-01 17:00:00,2025-11-01 12:02:00,2025-11-01 16:48:00,completed
6,63,2,2025-11-01 09:00:00,2025-11-01 17:00:00,2025-11-01 08:59:00,2025-11-01 17:11:00,completed
7,46,2,2025-11-01 08:00:00,2025-11-01 14:00:00,2025-11-01 08:01:00,2025-11-01 14:01:00,completed
8,13,2,2025-11-01 15:00:00,2025-11-01 21:00:00,2025-11-01 14:59:00,2025-11-01 21:00:00,completed
9,80,2,2025-11-01 10:00:00,2025-11-01 16:00:00,2025-11-01 09:59:00,2025-11-01 15:52:00,completed
10,40,2,2025-11-01 12:00:00,2025-11-01 17:00:00,2025-11-01 11:57:00,2025-11-01 17:03:00,completed
11,62,3,2025-11-01 10:00:00,2025-11-01 18:00:00,2025-11-01 10:02:00,2025-11-01 18:00:00,completed
12,34,3,2025-11-01 09:00:00,2025-11-01 15:00:00,2025-11-01 08:57:00,2025-11-01 15:01:00,completed
13,77,3,2025-11-01 15:00:00,2025-11-01 21:00:00,2025-11-01 15:00:00,2025-11-01 20:58:00,completed
14,25,3,2025-11-01 11:00:00,2025-11-01 17:00:00,,,cancelled
15,44,3,2025-11-01 13:00:00,2025-11-01 18:00:00,2025-11-01 13:00:00,2025-11-01 17:53:00,completed
16,67,1,2025-11-02 09:00:00,2025-11-02 17:00:00,2025-11-02 09:05:00,2025-11-02 17:04:00,completed
17,33,1,2025-11-02 08:00:00,2025-11-02 14:00:00,2025-11-02 08:01:00,2025-11-02 13:57:00,completed
18,43,1,2025-11-02 16:00:00,2025-11-02 22:00:00,2025-11-02 16:01:00,2025-11-02 21:53:00,completed
19,14,1,2025-11-02 10:00:00,2025-11-02 16:00:00,2025-11-02 09:59:00,2025-11-02 16:08:00,completed
20,52,1,2025-11-02 12:00:00,2025-11-02 17:00:00,2025-11-02 11:58:00,2025-11-02 17:01:00,completed
21,2,2,2025-11-02 09:00:00,2025-11-02 17:00:00,2025-11-02 08:55:00,2025-11-02 17:08:00,completed
22,38,2,2025-11-02 08:00:00,2025-11-02 14:00:00,2025-11-02 08:02:00,2025-11-02 13:55:00,completed
23,7,2,2025-11-02 15:00:00,2025-11-02 21:00:00,2025-11-02 15:03:00,2025-11-02 20:56:00,completed
24,37,2,2025-11-02 10:00:00,2025-11-02 16:00:00,2025-11-02 10:01:00,2025-11-02 16:05:00,completed
25,19,2,2025-11-02 12:00:00,2025-11-02 17:00:00,2025-11-02 12:00:00,2025-11-02 16:55:00,completed
26,58,3,2025-11-02 10:00:00,2025-11-02 18:00:00,2025-11-02 10:01:00,2025-11-02 17:57:00,completed
27,69,3,2025-11-02 09:00:00,2025-11-02 15:00:00,2025-11-02 09:01:00,2025-11-02 14:56:00,completed
28,35,3,2025-11-02 15:00:00,2025-11-02 21:00:00,2025-11-02 14:59:00,2025-11-02 20:54:00,completed
29,56,3,2025-11-02 11:00:00,2025-11-02 17:00:00,2025-11-02 10:50:00,2025-11-02 17:03:00,completed
30,11,3,2025-11-02 13:00:00,2025-11-02 18:00:00,2025-11-02 13:03:00,2025-11-02 17:54:00,completed
31,1,1,2025-11-03 09:00:00,2025-11-03 17:00:00,2025-11-03 09:00:00,2025-11-03 17:11:00,completed
32,21,1,2025-11-03 08:00:00,2025-11-03 14:00:00,2025-11-03 08:01:00,2025-11-03 13:59:00,completed
33,18,1,2025-11-03 16:00:00,2025-11-03 22:00:00,2025-11-03 15:56:00,2025-11-03 22:00:00,completed
