store_id,product_id,quantity_on_hand,reorder_threshold
1,1,0,9
1,2,0,9
1,3,0,17
1,5,0,23
1,7,0,13
1,9,0,33
1,10,0,33
1,11,0,24
1,13,0,20
1,14,0,23
1,15,0,35
1,16,0,34
1,17,0,16
1,18,0,35
1,19,0,20
1,20,0,27
1,21,0,18
1,22,0,13
1,23,0,31
1,24,0,28
1,25,0,23
1,26,0,24
1,27,0,12
1,28,0,30
1,29,0,14
1,30,0,33
1,31,0,23
1,32,0,32
1,33,0,32
1,34,0,31
1,35,0,18
1,36,0,18
1,37,0,24
1,39,0,30
1,40,0,11
1,41,0,21
1,43,0,35
1,44,0,32
1,45,0,12
1,46,0,8
1,47,0,35
1,48,0,15
2,1,0,13
2,2,0,12
2,3,0,13
2,5,0,35
2,7,0,10
2,9,0,12
2,10,0,35
2,11,0,8
2,13,0,16
2,14,0,35
2,15,0,23
2,16,0,10
2,17,0,34
2,18,0,18
2,19,0,26
2,20,0,23
2,21,0,16
2,22,0,20
2,23,0,34
2,24,0,11
2,25,0,18
2,26,0,34
2,27,0,35
2,28,0,33
2,29,0,24
2,30,0,21
2,31,0,21
2,32,0,27
2,33,0,10
2,34,0,15
2,35,0,14
2,36,0,12
2,37,0,31
2,39,0,16
2,40,0,16
2,41,0,28
2,43,0,14
2,44,0,30
2,45,0,8
2,46,0,31
2,47,0,27
2,48,0,33
3,1,0,18
3,2,0,26
3,3,0,30
3,5,0,24
3,7,0,13
3,9,0,20
3,10,0,20
3,11,0,9
3,13,0,30
3,14,0,8
3,15,0,27
3,16,0,12
3,17,0,23
3,18,0,11
3,19,0,24
3,20,0,17
3,21,0,8
3,22,0,13
3,23,0,31
3,24,0,15
3,25,0,32
3,26,0,10
3,27,0,14
3,28,0,22
3,29,0,21
3,30,0,35
3,31,0,28
3,32,0,25
3,33,0,16
3,34,0,10
3,35,0,14
3,36,0,9
3,37,0,13
3,39,0,34
3,40,0,31
3,41,0,21
3,43,0,15
3,44,0,19
3,45,0,14
3,46,0,8
3,47,0,23
3,48,0,30
