vendor_product_id,vendor_id,product_id,unit_purchase_cost,min_order_quantity,lead_time_days
1,9,1,4.01,36,4
2,8,2,2.58,20,7
3,5,2,2.24,24,5
4,2,2,2.59,20,2
5,1,3,4.11,20,2
6,4,4,1.63,24,2
7,9,4,1.38,6,1
8,9,5,5.95,8,1
9,8,5,5.04,36,1
10,5,6,3.06,20,3
11,3,7,1.74,36,5
12,2,7,1.79,8,1
13,8,8,2.23,8,7
14,7,8,2.37,8,4
15,1,9,3.62,10,7
16,9,10,3.12,24,6
17,2,10,2.82,8,1
18,1,11,3.55,20,1
19,7,11,3.44,6,4
20,2,12,3.38,36,3
21,8,12,3.03,24,6
22,5,13,0.42,20,3
23,8,13,0.58,36,4
24,2,14,3.85,24,3
25,1,15,1.28,48,4
26,4,16,2.79,12,4
27,6,16,3.55,20,6
28,7,17,1.80,24,6
29,4,18,2.02,6,4
30,8,18,2.13,8,6
31,5,19,3.41,36,2
32,9,19,2.42,10,7
33,1,20,3.95,36,5
34,5,20,4.52,10,5
35,1,21,3.31,8,6
36,8,21,3.09,24,1
37,4,22,3.17,6,1
38,2,22,3.96,6,6
39,8,23,3.11,8,4
40,6,24,2.81,24,7
41,2,24,3.15,10,4
42,8,24,3.66,36,5
43,3,25,5.72,12,3
44,3,26,2.07,36,4
45,2,26,1.99,6,6
46,6,26,2.59,10,1
47,2,27,6.60,36,2
48,5,27,9.61,6,5
49,6,28,5.09,6,7
50,1,28,7.04,8,5
51,5,28,5.91,8,3
52,6,29,3.32,20,7
53,3,29,3.24,48,2
54,3,30,5.84,36,6
55,8,31,2.64,12,2
56,9,31,2.26,24,5
57,9,32,2.74,20,7
58,7,32,3.32,6,2
59,7,33,3.42,6,6
60,4,34,3.45,20,1
61,5,34,2.75,12,4
62,5,35,2.54,20,5
63,8,35,2.52,48,7
64,6,36,3.05,8,4
65,3,36,2.67,10,6
66,7,37,4.47,48,2
67,8,37,4.16,36,4
68,2,37,5.73,8,5
69,5,38,2.51,24,7
70,9,39,4.60,20,2
71,8,39,5.16,10,3
72,6,40,5.20,8,6
73,9,40,5.73,24,5
74,9,41,2.46,8,4
75,7,41,3.19,48,6
76,2,41,2.79,6,3
77,9,42,3.15,48,1
78,2,42,3.59,48,7
79,5,42,3.57,20,2
80,6,43,3.36,24,7
81,4,43,4.75,10,3
82,9,44,2.25,10,4
83,4,44,2.63,24,2
84,5,44,2.51,36,3
85,8,45,2.27,12,5
86,6,45,1.84,8,1
87,9,46,5.10,24,2
88,4,46,5.55,24,6
89,8,47,3.94,36,7
90,5,47,3.17,20,6
91,9,47,3.36,8,1
92,8,48,3.69,10,4
93,2,48,4.56,24,4
